atomic_number,symbol,atomic_mass,density
1,H,1.00794,0.0708
2,He,4.002602,0.122
3,Li,6.941,0.534
4,Be,9.012182,1.848
5,B,10.811,2.34
6,C,12.0107,
7,N,14.00674,0.808
8,O,15.9994,1.14
9,F,18.9984032,1.5
10,Ne,20.1797,1.207
11,Na,22.98977,0.971
12,Mg,24.305,1.738
13,Al,26.981538,2.6989
14,Si,28.0855,2.3325
15,P,30.973761,1.82
16,S,32.066,2.07
17,Cl,35.4527,
18,Ar,39.948,1.4
19,K,39.0983,0.862
20,Ca,40.078,1.55
21,Sc,44.95591,2.98925
22,Ti,47.867,4.54
23,V,50.9415,
24,Cr,51.9961,
25,Mg,54.938049,
26,Fe,55.845,7.874
27,Co,58.9332,8.9
28,Ni,58.6934,8.90225
29,Cu,63.546,8.96
30,Zn,65.39,7.13325
31,Ga,69.723,
32,Ge,72.61,5.32325
33,As,74.9216,5.73
34,Se,78.96,4.79
35,Br,79.904,3.12
36,Kr,83.8,2.16
37,Rb,85.4678,1.532
38,Sr,87.62,2.54
39,Y,88.90585,4.469
40,Zr,91.224,6.506
41,Nb,92.90638,8.57
42,Mo,95.94,10.22
43,Tc,98,11.50
44,Ru,101.07,12.41
45,Rh,102.90550,12.41
46,Pd,106.42,12.02
47,Ag,107.8682,10.50
48,Cd,112.411,8.65
49,In,114.818,7.31
50,Sn,118.710,7.31
51,Sb,121.760,6.691
52,Te,127.60,6.24
53,I,126.90447,4.93
54,Xe,131.29,3.52
55,Cs,132.90545,1.873
56,Ba,137.327,3.5
57,La,138.9055,6.145
58,Ce,140.116,6.770
59,Pr,140.90765,6.773
60,Nd,144.24,7.008
61,Pm,145,7.264
62,Sm,150.36,7.520
63,Eu,151.964,5.244
64,Gd,157.25,7.901
65,Tb,158.92534,8.230
66,Dy,162.50,8.551
67,Ho,164.93032,8.795
68,Er,167.26,9.066
69,Tm,168.93421,9.321
70,Yb,173.04,6.966
